"","project","sample_event","stream_name","site_name","sample_date","reach_length","pct_fine","pct_sand","pct_gravel","pct_pebble","pct_cobble","pct_boulder","D50","temp","pH","conductivity","DO","alkalinity","turbidity","N","P","pct_stable","pct_eroding","pct_undercut","avg_embed","avg_stream_width","std_dev_stream_width","pct_pool","pct_riffle","pct_transition","max_depths","avg_Q_cm3_s","avg_Q_m3_s","avg_Q_cfs","std_dev_Q_cm3_s","std_dev_Q_m3_s","std_dev_Q_cfs","pct_vh","pct_vb","pct_vt","pct_a","pct_o","pct_riparian_shade","year","elevation"
"1","Yuba","Summer 2022","Oregon Creek","OC","2022-07-20",150,0,6,7,27,19,41,95,18.15,8.023333333,103.6,8.76,NA,0.083333333,0.23,0.126666667,100,0,0,13.2,NA,NA,30,57.33333333,12.66666667,80,144821.3,0.1448,5.114316418,NA,0.085,NA,0,0,2.5,97.5,0,63,2022,668.85
"2","Yuba","Summer 2022","Rock Creek","RC","2022-06-27",150,3.03030303,12.12121212,13.13131313,48.48484848,23.23232323,0,40,11.2,6.93,25.83,8.96,NA,0.1,0.23,0.2,88,5,38,11.6,NA,NA,17,71,13,23,5845,0.0058,0.206414246,NA,0.0069,NA,5,5,35,50,5,98,2022,1051.53
"3","Yuba","Summer 2022","Deer Creek","DC 1","2022-06-29",150,0,0,2,21,31,46,200,11.65,7.383333333,38.6,11.3,NA,0.266666667,0.23,0.123333333,100,0,8,9.4,NA,NA,21,79,0,84,1791727,1.7917,63.27424774,NA,0.6287,NA,3,0,8,88,3,78,2022,957.96
"4","Yuba","Summer 2022","Deer Creek","DC 2","2022-06-16",150,8,4,2,23,63,0,87.5,12.2,7.343333333,38.2,11.00333333,NA,0.263333333,0.23,0.07,93,0,28,6.4,NA,NA,49,35,16,80,963196,0.9632,34.01494889,NA,0.2613,NA,35,3,45,15,3,62,2022,766.35
"5","Yuba","Summer 2022","Deer Creek","DC 4","2022-07-19",150,1,7,5,22,26,39,180,12.55,7.48,54.53333333,10.51666667,NA,0.46,0.23,0.323333333,100,0,0,25.04,NA,NA,0,93.33333333,6.666666667,95,1270329,1.2703,44.86124943,NA,0.8474,NA,3,0,3,95,0,70,2022,705.94
"6","Yuba","Summer 2022","Deer Creek","DC 6","2022-06-30",150,1,10,1,25,37,26,132.5,19.96666667,7.64,102.5666667,8.15,NA,0.53,0.23,0.123333333,100,0,5,0,NA,NA,24,52.66666667,23.33333333,95,110892,0.1109,3.916114386,NA,0.0766,NA,10,5,10,75,0,66,2022,366.76
"7","Yuba","Summer 2022","Deer Creek","DC 8","2022-07-05",150,0,5,0,26,40,29,130,21.8,7.983333333,200.0333333,10.54333333,NA,0.26,1.046666667,2.2,100,0,0,11,NA,NA,46.66666667,49.33333333,4,57,49052,0.0491,1.732255193,NA,0.0462,NA,30,2.5,20,47.5,0,55,2022,247.16
"8","Yuba","Summer 2022","Deer Creek","DC 10","2022-06-23",150,0,0,7,25,21,47,225,24,8.1,161.2,8.9,NA,0.41,0.346,1.97,100,0,17.5,17.6,NA,NA,57.33333333,23.33333333,19.33333333,85,99218.6,0.0992,3.503872117,NA,0.091,NA,32.5,2.5,12.5,52.5,0,48,2022,198.62
"9","Yuba","Summer 2022","Little Deer Creek","DC 11","2022-05-31",150,17,11,12,39,16,5,40,10.6,7.103333333,50.83333333,9.823333333,NA,0.46,0.275666667,0.16,82.5,7.5,15,18.6,NA,NA,37.33333333,55.33333333,7.333333333,83,58097.928,0.0581,2.051709155,NA,0.031,NA,32.5,2.5,20,37.5,10,90,2022,754.65
"10","Yuba","Summer 2022","Squirrel Creek","DC 15","2022-06-15",140,0,3,6,68,23,0,45,16.65,7.563333333,150.7666667,11.17,NA,0.553333333,0.329666667,0.12,87.5,2.5,20,16.4,NA,NA,48,26.66666667,25.33333333,98,NA,NA,NA,NA,NA,NA,32.5,32.5,15,15,5,65,2022,426.16
"11","Yuba","Summer 2022","Squirrel Creek","DC 16","2022-07-06",150,1,10,4,43,23,19,59.5,21.43333333,7.816666667,159.0666667,7.536666667,NA,0.483333333,0.23,0.23,95,0,7.5,22.2,NA,NA,78,18.66666667,3.333333333,105,4308.5,0.0043,0.152153256,NA,0.008,NA,27.5,0,17.5,52.5,2.5,73,2022,276.54
"12","Yuba","Summer 2022","Bear River","BR 1","2022-06-21",150,3,0,4,32,61,0,70,10.38333333,7.356666667,75.6,9.826666667,NA,0.32,0.23,0.22,92.5,2.5,27.5,12,NA,NA,12.66666667,78,9.333333333,65,393988,0.394,13.9135562,NA,0.104,NA,12.5,10,35,37.5,5,90,2022,1405.47
"13","Yuba","Summer 2022","Bear River","BR 2","2022-07-27",150,0,5,3,43,47,2,64.5,17.38333333,7.393333333,39.73333333,10.14333333,NA,0.17,0.23,0.093333333,100,0,0,4.6,NA,NA,0,72,28,70,1760381.5,1.7604,62.16729175,NA,2.4258,NA,0,0,40,60,0,25,2022,672.71
"14","Yuba","Summer 2022","Steephollow Creek","BR 3","2022-07-25",150,0,7,4,56,32,1,50,18.56666667,7.096666667,92.46666667,8.27,NA,0.073333333,0.23,0.093333333,100,0,0,18.4,NA,NA,12.66666667,83.33333333,4,76,165543,0.1655,5.846096416,NA,0.0864,NA,0,2.5,32.5,47.5,17.5,29,2022,675.22
"15","Yuba","Summer 2022","Dry Creek","BR 12","2022-08-03",150,6.18556701,12.37113402,10.30927835,22.68041237,35.05154639,13.40206186,90,24.03333333,7.726666667,178.0666667,7.343333333,NA,1.21,0.23,0.083333333,75,5,32.5,20.2,NA,NA,42,42.66666667,15.33333333,120,147555.5,0.1476,5.210873789,NA,0.1474,NA,45,0,32.5,22.5,0,56,2022,97.67
"16","Creek Surveys","Summer 2023","Oregon Creek","OC","2023-06-30",100,0,8,4,30,27,31,110,16.3,7.79,76.5,9.25,NA,0.2,NA,NA,97.5,0,2.5,1660,942,290.9,27,35,38,99,702895,0.7029,24.82250497,NA,0.2547,NA,0,0,0,92.5,7.5,58,2023,668.85
"17","Creek Surveys","Summer 2023","Shady Creek","SC","2023-06-29",100,1.020408163,26.53061224,7.142857143,54.08163265,10.20408163,1.020408163,30,16.8,7.91,109.7,NA,NA,NA,NA,NA,2.5,92.5,30,4600,247.75,77.3,0,72,28,21,22679.5,0.0227,0.800919058,NA,0.0079,NA,2.5,0,37.5,2.5,62.5,75,2023,582.2
"18","Creek Surveys","Summer 2023","Rock Creek","RC","2023-06-27",100,2.083333333,13.54166667,7.291666667,42.70833333,31.25,3.125,50,10,6.92,26.8,NA,NA,NA,NA,NA,0,82.5,72.5,2720,237,88.8,8,83,9,36,46048,0.046,1.626169924,NA,0.0447,NA,10,0,42.5,0,47.5,98,2023,1051.53
"19","Creek Surveys","Summer 2023","Deer Creek","DC 1","2023-07-17",100,0,7.446808511,0,19.14893617,40.42553191,32.9787234,170,11.6,7.23,27.7,9.33,NA,0.5,NA,NA,35,30,22.5,1800,1030.3,188.4,39,60,1,125,1833047.6,1.833,64.73347109,NA,0.9919,NA,22.5,0,5,42.5,30,76,2023,957.96
"20","Creek Surveys","Summer 2023","Deer Creek","DC 2","2023-06-09",100,0,19,2,35,42,2,69,11.8,7.2,47.7,11.11,NA,NA,NA,NA,50,27.5,27.5,1160,1533.35,333.1,8,50,42,97,777690.6,0.7777,27.4638869,NA,0.2075,NA,25,0,50,2.5,22.5,56,2023,766.59
"21","Creek Surveys","Summer 2023","Deer Creek","DC 6","2023-06-14",100,0,10.1010101,4.04040404,30.3030303,35.35353535,20.2020202,79,19.7,7.81,158.9,8.88,NA,NA,NA,NA,77.5,7.5,20,2080,564.9,126.3,0,40,60,66,276756,0.2768,9.773546811,NA,0.1082,NA,22.5,0,2.5,55,20,69,2023,366.76
"22","Creek Surveys","Summer 2023","Deer Creek","DC 8","2023-06-16",100,0,0,1.030927835,17.5257732,53.60824742,27.83505155,180,19.5,8.4,123,9.87,NA,NA,NA,NA,65,0,0,2076,599.5,172.5,0,74,26,66.5,476732.5,0.4767,16.83565092,NA,0.1596,NA,57.5,15,0,7.5,20,60,2023,247.16
"23","Creek Surveys","Summer 2023","Squirrel Creek","DC 16","2023-06-16",100,4,9,12,31,31,13,64,20.7,7.92,145.7,8.14,NA,NA,NA,NA,92.5,2.5,17.5,1760,470,157.8,64,30,6,110,44814.5,0.0448,1.582609279,NA,0.0405,NA,15,7.5,52.5,15,10,75,2023,276.54
"24","Creek Surveys","Summer 2023","Deer Creek","DC 19","2023-06-13",100,0,7.142857143,12.24489796,25.51020408,26.53061224,28.57142857,85,13.7,7.5,120.2,10.13,NA,NA,NA,NA,82.5,7.5,5,2600,934.75,178.1,0,69,31,78,841533.5,0.8415,29.71847785,NA,0.298,NA,25,0,12.5,65,0,60,2023,809.67
"25","Creek Surveys","Summer 2023","Bear River","BR 1","2023-06-15",100,0,3.191489362,9.574468085,37.23404255,45.74468085,4.255319149,65,7.7,7.62,59.2,10.33,NA,NA,NA,NA,92.5,2.5,27.5,2180,737,116,12,79,9,71,449261,0.4493,15.86550396,NA,0.1627,NA,12.5,32.5,42.5,10,5,88,2023,1405.47
"26","Creek Surveys","Summer 2023","Dry Creek","BR 12","2023-06-23",100,4,27,1,9,49,10,147,18.4,7.99,202.5,9.39,NA,0.613333333,NA,NA,75,0,37.5,2680,714.45,286.6,53,37.3,9.7,130,277201.3,0.2772,9.789272433,NA,0.2137,NA,75,2.5,12.5,10,0,63,2023,97.78
"27","Yuba","Summer 2024","Oregon Creek","OC","2024-06-05",100,0,0,8,24,24,44,120,16.4,7.62,62.2,9.89,NA,0.62,NA,NA,100,0,0,12.5,NA,NA,8,32,60,79,8155.483333,0.0082,0.288008203,NA,0.0049,NA,0,0,10,90,0,54,2024,668.85
"28","Yuba","Summer 2024","Fall Creek","FC","2024-06-12",100,0,4,0,32,60,4,81.5,11.5,7.22,29.6,9.57,NA,NA,NA,NA,100,0,0,17,NA,NA,0,55.33333333,44.66666667,45,185146.6667,0.1851,6.538393435,NA,0.2889,NA,0,30,10,60,0,29,2024,1664.15
"29","Yuba","Summer 2024","Shady Creek","SC","2024-06-06",100,0,4,48,48,0,0,17,18.5,7.74,117.6,9.25,NA,NA,NA,NA,90,0,2,15,NA,NA,0,43.33333333,56.66666667,16,29646,0.0296,1.046938707,NA,0.0208,NA,50,0,30,20,0,71,2024,755.42
"30","Yuba","Summer 2024","Rock Creek","RC","2024-06-11",102,32,0,12,40,16,0,25,10.7,6.81,23.6,9.92,NA,NA,NA,NA,50,30,6,19,NA,NA,6,48.66666667,45.33333333,22,296.5,3e-04,0.0104708,NA,3e-04,NA,20,0,60,20,0,93,2024,1051.53
"31","Yuba","Summer 2024","Deer Creek","DC 1","2024-07-02",100,4,4,4,16,28,44,93,13.7,7.36,50,9.59,NA,0.39,NA,NA,100,0,0,7,NA,NA,17.33333333,31.33333333,51.33333333,100,1640.066667,0.0016,0.057918413,NA,0.0012,NA,0,0,0,100,0,66,2024,957.96
"32","Yuba","Summer 2024","Deer Creek","DC 2","2024-06-18",100,4,0,8,28,56,4,83,10.7,7.2,39.4,10.57,NA,0.86,NA,NA,90,0,14,5,NA,NA,44,17.33333333,38.66666667,73,5956.61,0.006,0.210355717,NA,0.003,NA,70,0,20,10,0,51,2024,766.63
"33","Yuba","Summer 2024","Deer Creek","DC 6","2024-06-13",100,16,0,16,36,24,8,31,22.3,7.8,133.6,7.83,NA,1.17,NA,NA,90,0,0,5.5,NA,NA,8,32.66666667,59.33333333,48,919.5,9e-04,0.032471839,NA,8e-04,NA,10,0,0,80,10,75,2024,366.76
"34","Yuba","Summer 2024","Deer Creek","DC 8","2024-06-20",100,8,0,0,48,32,12,55,20.1,7.77,215.5,9.5,NA,NA,NA,NA,100,0,0,0,NA,NA,14,24.66666667,61.33333333,30,4521.65,0.0045,0.159680578,NA,0.0098,NA,10,40,40,10,0,46,2024,244.66
"35","Yuba","Summer 2024","Deer Creek","DC 11","2024-05-29",100,4,12,16,36,24,8,45,13.1,7.13,41.5,9.62,NA,NA,NA,NA,60,0,0,20.5,NA,NA,12.66666667,37.33333333,50,41,149500,0.1495,5.279543165,NA,0.0924,NA,50,0,20,30,0,87,2024,754.65
"36","Yuba","Summer 2024","Squirrel Creek","DC 16","2024-06-26",100,20,0,8,40,32,0,30,21.4,7.79,143.2,7.51,NA,NA,NA,NA,100,0,2,20,NA,NA,48,17.33333333,34.66666667,108,57.8,1e-04,0.002041188,NA,1e-04,NA,20,10,40,30,0,86,2024,276.54
"37","Yuba","Summer 2024","Deer Creek","DC 19","2024-06-04",100,0,8,4,24,32,32,95,16,7.36,84.8,7.87,NA,1.82,NA,NA,100,0,0,22,NA,NA,2.666666667,46.66666667,50.66666667,77,473812.6667,0.4738,16.73253797,NA,0.2828,NA,10,0,30,60,0,64,2024,705.94
"38","Yuba","Summer 2024","Bear River","BR 1","2024-06-09",100,4,0,32,40,24,0,34,12.8,7.95,132.9,10.24,NA,NA,NA,NA,50,0,2,20.25,NA,NA,14,32,54,30,1919.266667,0.0019,0.067778269,NA,0.001,NA,50,0,20,20,10,89,2024,1405.47
"39","Yuba","Summer 2024","Bear River","BR 2","2024-06-27",100,4,0,12,68,16,0,50,18.8,7.5,74.1,8.43,NA,0.4,NA,NA,60,0,0,0,NA,NA,34,29.33333333,36.66666667,61,5156.62,0.0052,0.182104334,NA,0.0035,NA,10,0,60,0,30,33,2024,672.71
"40","Yuba","Summer 2024","Bear River","BR 3","2024-06-17",100,0,0,0,64,32,4,55,18.3,7.33,86,8.78,NA,0.36,NA,NA,30,0,0,13,NA,NA,16.66666667,34.66666667,48.66666667,57,4290.28,0.0043,0.151509822,NA,0.0025,NA,0,10,0,20,70,15,2024,675.12
"41","Yuba","Summer 2024","Bear River","BR 12","2024-06-25",100,20,0,20,16,44,0,29,22.6,7.93,205.6,8.21,NA,1.43,NA,NA,80,0,0,30,NA,NA,34.66666667,20,45.33333333,129,880.6333333,9e-04,0.031099276,NA,0.001,NA,70,0,20,10,0,66,2024,97.67
